| n | Iterative | Recursive | Dynamic Programming |
|--|:--:|:--:|:--:|
| 1    | 0.00282  | 0.00271  | 0.00226  |
| 2    | 0.00226  | 0.00226  | 0.00406  |
| 3    | 0.00265  | 0.00256  | 0.00259  |
| 4    | 0.00223  | 0.00274  | 0.00253  |
| 5    | 0.00257  | 0.00264  | 0.00236  |
| 6    | 0.00238  | 0.00240  | 0.00237  |
| 7    | 0.00283  | 0.00227  | 0.00234  |
| 8    | 0.00223  | 0.00255  | 0.00238  |
| 9    | 0.00240  | 0.00248  | 0.00270  |
| 10   | 0.00254  | 0.00215  | 0.00224  |
| 11   | 0.00270  | 0.00278  | 0.00234  |
| 12   | 0.00225  | 0.00251  | 0.00236  |
| 13   | 0.00239  | 0.00261  | 0.00271  |
| 14   | 0.00239  | 0.00226  | 0.00227  |
| 15   | 0.00226  | 0.00239  | 0.00256  |
| 16   | 0.00216  | 0.00222  | 0.00233  |
| 17   | 0.00225  | 0.00228  | 0.00220  |
| 18   | 0.00258  | 0.00468  | 0.00232  |
| 19   | 0.00249  | 0.00440  | 0.00231  |
| 20   | 0.00240  | 0.00840  | 0.00268  |
| 21   | 0.00259  | 0.01649  | 0.00298  |
| 22   | 0.00288  | 0.03296  | 0.00308  |
| 23   | 0.00314  | 0.06517  | 0.00321  |
| 24   | 0.00273  | 0.11508  | 0.00285  |
| 25   | 0.00262  | 0.16494  | 0.00350  |
| 26   | 0.00319  | 0.31558  | 0.00317  |
| 27   | 0.00277  | 0.56621  | 0.00334  |
| 28   | 0.00288  | 1.11803  | 0.00315  |
| 29   | 0.00283  | 2.12039  | 0.00321  |
| 30   | 0.00300  | 4.42717  | 0.00312  |
| 31   | 0.00270  | 8.78889  | 0.00322  |
| 32   | 0.00290  | 17.61033 | 0.00298  |
| 33   | 0.00239  | 34.35562 | 0.00303  |
| 34   | 0.00226  |    -     | 0.00329  |
| 35   | 0.00330  |    -     | 0.00350  |
| 36   | 0.00315  |    -     | 0.00263  |
| 37   | 0.00270  |    -     | 0.00316  |
| 38   | 0.00276  |    -     | 0.00265  |
| 39   | 0.00245  |    -     | 0.00306  |
| 40   | 0.00248  |    -     | 0.00299  |
| 41   | 0.00248  |    -     | 0.00308  |
| 42   | 0.00239  |    -     | 0.00357  |
| 43   | 0.00299  |    -     | 0.00305  |
| 44   | 0.00349  |    -     | 0.00332  |
| 45   | 0.00257  |    -     | 0.00349  |
| 46   | 0.00271  |    -     | 0.00355  |
| 47   | 0.00267  |    -     | 0.00333  |
| 48   | 0.00325  |    -     | 0.00330  |
| 49   | 0.00258  |    -     | 0.00332  |
| 50   | 0.00292  |    -     | 0.00350  |
| 51   | 0.00301  |    -     | 0.00329  |
| 52   | 0.00327  |    -     | 0.00327  |
| 53   | 0.00308  |    -     | 0.00315  |
| 54   | 0.00329  |    -     | 0.00360  |
| 55   | 0.00295  |    -     | 0.00305  |
| 56   | 0.00256  |    -     | 0.00499  |
| 57   | 0.00269  |    -     | 0.00402  |
| 58   | 0.00300  |    -     | 0.00345  |
| 59   | 0.00270  |    -     | 0.00330  |
| 60   | 0.00302  |    -     | 0.00340  |
| 61   | 0.00297  |    -     | 0.00347  |
| 62   | 0.00321  |    -     | 0.00302  |
| 63   | 0.00260  |    -     | 0.00364  |
| 64   | 0.00313  |    -     | 0.00350  |
| 65   | 0.00293  |    -     | 0.00310  |
| 66   | 0.00262  |    -     | 0.00323  |
| 67   | 0.00236  |    -     | 0.00355  |
| 68   | 0.00274  |    -     | 0.00345  |
| 69   | 0.00300  |    -     | 0.00321  |
| 70   | 0.00252  |    -     | 0.00312  |
| 71   | 0.00282  |    -     | 0.00347  |
| 72   | 0.00392  |    -     | 0.00233  |
| 73   | 0.00217  |    -     | 0.00330  |
| 74   | 0.00300  |    -     | 0.00299  |
| 75   | 0.00237  |    -     | 0.00269  |
| 76   | 0.00244  |    -     | 0.00331  |
| 77   | 0.00324  |    -     | 0.00253  |
| 78   | 0.00245  |    -     | 0.00293  |
| 79   | 0.00229  |    -     | 0.00311  |
| 80   | 0.00253  |    -     | 0.00355  |
| 81   | 0.00272  |    -     | 0.00318  |
| 82   | 0.00247  |    -     | 0.00290  |
| 83   | 0.00274  |    -     | 0.00332  |
| 84   | 0.00251  |    -     | 0.00330  |
| 85   | 0.00234  |    -     | 0.00342  |
| 86   | 0.00334  |    -     | 0.00244  |
| 87   | 0.00239  |    -     | 0.00358  |
| 88   | 0.00274  |    -     | 0.00349  |
| 89   | 0.00344  |    -     | 0.00329  |
| 90   | 0.00310  |    -     | 0.00373  |
| 91   | 0.00261  |    -     | 0.00280  |
| 92   | 0.00280  |    -     | 0.00312  |
| 93   | 0.00329  |    -     | 0.00336  |
| 94   | 0.00277  |    -     | 0.00318  |
| 95   | 0.00302  |    -     | 0.00295  |
| 96   | 0.00254  |    -     | 0.00382  |
| 97   | 0.00310  |    -     | 0.00321  |
| 98   | 0.00376  |    -     | 0.00303  |
| 99   | 0.00286  |    -     | 0.00300  |
| 100  | 0.00278  |    -     | 0.00258  |
